Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,ChgSetSize,Age,Buggyness
0.9.0.1,src/jvm/storm/kafka/KafkaUtils.java,56,10,2,168,49,16.800,56,47,5.600,34,103,N
0.9.0.1,src/jvm/storm/kafka/Partition.java,47,5,1,79,48,15.800,47,48,9.400,30,24,N
0.9.0.1,src/jvm/storm/kafka/PartitionCoordinator.java,25,5,3,26,8,5.200,25,8,5.000,38,83,N
0.9.0.1,src/jvm/storm/kafka/PartitionManager.java,663,33,6,850,223,25.758,663,223,20.091,47,83,N
0.9.0.1,src/jvm/storm/kafka/SpoutConfig.java,34,7,3,59,19,8.429,34,19,4.857,32,93,N
0.9.0.1,src/jvm/storm/kafka/StaticCoordinator.java,115,12,4,146,42,12.167,115,42,9.583,43,83,N
0.9.0.1,src/jvm/storm/kafka/StaticHosts.java,21,3,1,56,42,18.667,21,42,7.000,35,38,N
0.9.0.1,src/jvm/storm/kafka/StaticPartitionConnections.java,52,9,3,94,45,10.444,52,45,5.778,43,83,N
0.9.0.1,src/jvm/storm/kafka/StringScheme.java,67,4,3,67,22,16.750,67,22,16.750,36,103,N
0.9.0.1,src/jvm/storm/kafka/TestTopology.java,74,15,4,165,37,11.000,74,37,4.933,39,103,N
0.9.0.1,src/jvm/storm/kafka/ZkCoordinator.java,314,21,6,478,147,22.762,314,147,14.952,43,83,N
0.9.0.1,src/jvm/storm/kafka/ZkHosts.java,22,2,1,33,22,16.500,22,22,11.000,34,38,N
0.9.0.1,src/jvm/storm/kafka/ZkState.java,385,9,4,430,96,47.778,385,96,42.778,42,79,N
0.9.0.1,src/jvm/storm/kafka/trident/Coordinator.java,37,4,1,61,36,15.250,37,36,9.250,37,38,N
0.9.0.1,src/jvm/storm/kafka/trident/DefaultCoordinator.java,42,4,3,43,14,10.750,42,14,10.500,37,68,N
0.9.0.1,src/jvm/storm/kafka/trident/FailedFetchException.java,14,3,2,15,7,5.000,14,7,4.667,30,68,N
0.9.0.1,src/jvm/storm/kafka/trident/GlobalPartitionInformation.java,111,7,2,189,66,27.000,111,66,15.857,33,38,N
0.9.0.1,src/jvm/storm/kafka/trident/IBatchCoordinator.java,25,4,3,25,8,6.250,25,8,6.250,37,68,N
0.9.0.1,src/jvm/storm/kafka/trident/IBrokerReader.java,21,4,3,29,13,7.250,21,13,5.250,36,68,N
0.9.0.1,src/jvm/storm/kafka/trident/KafkaUtils.java,356,21,5,562,177,26.762,356,177,16.952,41,68,N
0.9.0.1,src/jvm/storm/kafka/trident/MaxMetric.java,43,5,4,46,20,9.200,43,20,8.600,37,51,N
0.9.0.1,src/jvm/storm/kafka/trident/OpaqueTridentKafkaSpout.java,270,15,4,419,133,27.933,270,133,18.000,41,68,N
0.9.0.1,src/jvm/storm/kafka/trident/StaticBrokerReader.java,51,6,3,76,32,12.667,51,32,8.500,37,68,N
0.9.0.1,src/jvm/storm/kafka/trident/TransactionalTridentKafkaSpout.java,301,15,4,476,148,31.733,301,148,20.067,41,68,N
0.9.0.1,src/jvm/storm/kafka/trident/TridentKafkaConfig.java,44,6,3,49,12,8.167,44,12,7.333,41,68,N
0.9.0.1,src/jvm/storm/kafka/trident/TridentKafkaEmitter.java,257,6,1,550,252,91.667,257,252,42.833,34,37,N
0.9.0.1,src/jvm/storm/kafka/trident/ZkBrokerReader.java,82,5,3,96,37,19.200,82,37,16.400,37,68,N
0.9.0.1,src/jvm/storm/starter/BasicDRPCTopology.java,61,5,2,115,68,23.000,61,68,12.200,40,119,N
0.9.0.1,src/jvm/storm/starter/ExclamationTopology.java,70,9,2,139,69,15.444,70,69,7.778,40,125,N
0.9.0.1,src/jvm/storm/starter/ManualDRPC.java,51,3,2,84,53,28.000,51,53,17.000,37,81,N
0.9.0.1,src/jvm/storm/starter/PrintSampleStream.java,37,6,2,45,32,7.500,37,32,6.167,37,125,N
0.9.0.1,src/jvm/storm/starter/ReachTopology.java,179,6,2,407,226,67.833,179,226,29.833,40,119,N
0.9.0.1,src/jvm/storm/starter/RollingTopWords.java,13,7,2,150,48,21.429,13,41,1.857,77,123,N
0.9.0.1,src/jvm/storm/starter/SingleJoinExample.java,47,4,2,85,47,21.250,47,47,11.750,37,117,N
0.9.0.1,src/jvm/storm/starter/TransactionalGlobalCount.java,156,5,2,309,169,61.800,156,169,31.200,38,105,N
0.9.0.1,src/jvm/storm/starter/TransactionalTopWords.java,202,1,1,202,202,202.000,202,202,202.000,2,105,N
0.9.0.1,src/jvm/storm/starter/TransactionalWords.java,27,6,3,286,186,47.667,27,14,4.500,40,105,N
0.9.0.1,src/jvm/storm/starter/TridentReach.java,145,1,1,145,145,145.000,145,145,145.000,2,79,N
0.9.0.1,src/jvm/storm/starter/TridentWordCount.java,80,1,1,80,80,80.000,80,80,80.000,2,79,N
0.9.0.1,src/jvm/storm/starter/WordCountTopology.java,90,9,2,186,84,20.667,90,84,10.000,40,125,N
0.9.0.1,src/jvm/storm/starter/bolt/AbstractRankerBolt.java,93,5,2,160,95,32.000,93,95,18.600,40,60,N
0.9.0.1,src/jvm/storm/starter/bolt/IntermediateRankingsBolt.java,41,3,2,65,43,21.667,41,43,13.667,40,60,N
0.9.0.1,src/jvm/storm/starter/bolt/PrinterBolt.java,20,4,2,40,30,10.000,20,30,5.000,40,119,N
0.9.0.1,src/jvm/storm/starter/bolt/RollingCountBolt.java,125,4,2,218,126,54.500,125,126,31.250,40,60,N
0.9.0.1,src/jvm/storm/starter/bolt/SingleJoinBolt.java,97,5,2,182,102,36.400,97,102,19.400,40,117,N
0.9.0.1,src/jvm/storm/starter/bolt/TotalRankingsBolt.java,42,4,2,66,43,16.500,42,43,10.500,40,60,N
0.9.0.1,src/jvm/storm/starter/spout/RandomSentenceSpout.java,47,4,2,96,60,24.000,47,60,11.750,40,125,N
0.9.0.1,src/jvm/storm/starter/spout/TwitterSampleSpout.java,105,7,2,122,99,17.429,105,99,15.000,40,125,N
0.9.0.1,src/jvm/storm/starter/tools/NthLastModifiedTimeTracker.java,53,3,2,86,55,28.667,53,55,17.667,40,60,N
0.9.0.1,src/jvm/storm/starter/tools/Rankable.java,15,4,2,17,9,4.250,15,9,3.750,40,60,N
0.9.0.1,src/jvm/storm/starter/tools/RankableObjectWithFields.java,131,7,2,229,117,32.714,131,117,18.714,40,60,N
0.9.0.1,src/jvm/storm/starter/tools/Rankings.java,139,7,2,219,93,31.286,139,93,19.857,40,60,N
0.9.0.1,src/jvm/storm/starter/tools/SlidingWindowCounter.java,103,7,3,161,102,23.000,103,102,14.714,40,60,N
0.9.0.1,src/jvm/storm/starter/tools/SlotBasedCounter.java,106,5,3,196,98,39.200,106,98,21.200,40,60,N
0.9.0.1,src/jvm/storm/starter/util/StormRunner.java,22,3,2,33,22,11.000,22,22,7.333,40,60,N
0.9.0.1,src/jvm/storm/starter/util/TupleHelpers.java,16,3,2,22,16,7.333,16,16,5.333,40,60,N
0.9.0.1,src/jvm/storm/trident/JoinType.java,13,1,1,13,13,13.000,13,13,13.000,146,79,N
0.9.0.1,src/jvm/storm/trident/Stream.java,436,10,3,451,315,45.100,436,315,43.600,171,79,N
0.9.0.1,src/jvm/storm/trident/TridentState.java,23,4,2,26,23,6.500,23,23,5.750,164,79,N
0.9.0.1,src/jvm/storm/trident/TridentTopology.java,860,5,2,896,759,179.200,860,759,172.000,164,79,N
0.9.0.1,src/jvm/storm/trident/drpc/ReturnResultsReducer.java,95,1,1,95,95,95.000,95,95,95.000,146,79,N
0.9.0.1,src/jvm/storm/trident/fluent/ChainedAggregatorDeclarer.java,176,4,2,188,161,47.000,176,161,44.000,154,79,N
0.9.0.1,src/jvm/storm/trident/fluent/ChainedFullAggregatorDeclarer.java,15,1,1,15,15,15.000,15,15,15.000,146,79,N
0.9.0.1,src/jvm/storm/trident/fluent/ChainedPartitionAggregatorDeclarer.java,15,1,1,15,15,15.000,15,15,15.000,146,79,N
0.9.0.1,src/jvm/storm/trident/fluent/GlobalAggregationScheme.java,9,1,1,9,9,9.000,9,9,9.000,146,79,N
0.9.0.1,src/jvm/storm/trident/fluent/GroupedStream.java,165,4,2,165,153,41.250,165,153,41.250,164,79,N
0.9.0.1,src/jvm/storm/trident/fluent/IAggregatableStream.java,14,1,1,14,14,14.000,14,14,14.000,146,79,N
0.9.0.1,src/jvm/storm/trident/fluent/IChainedAggregatorDeclarer.java,7,1,1,7,7,7.000,7,7,7.000,146,79,N
0.9.0.1,src/jvm/storm/trident/fluent/UniqueIdGen.java,17,1,1,17,17,17.000,17,17,17.000,146,79,N
0.9.0.1,src/jvm/storm/trident/graph/GraphGrouper.java,106,1,1,106,106,106.000,106,106,106.000,146,79,N
0.9.0.1,src/jvm/storm/trident/graph/Group.java,70,1,1,70,70,70.000,70,70,70.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/Aggregator.java,9,1,1,9,9,9.000,9,9,9.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/Assembly.java,8,1,1,8,8,8.000,8,8,8.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/BaseAggregator.java,6,1,1,6,6,6.000,6,6,6.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/BaseFilter.java,6,1,1,6,6,6.000,6,6,6.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/BaseFunction.java,6,1,1,6,6,6.000,6,6,6.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/BaseMultiReducer.java,48,3,2,48,16,16.000,48,16,16.000,25,77,N
0.9.0.1,src/jvm/storm/trident/operation/BaseOperation.java,15,1,1,15,15,15.000,15,15,15.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/CombinerAggregator.java,12,1,1,12,12,12.000,12,12,12.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/EachOperation.java,5,1,1,5,5,5.000,5,5,5.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/Filter.java,8,1,1,8,8,8.000,8,8,8.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/Function.java,7,1,1,7,7,7.000,7,7,7.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/GroupedMultiReducer.java,14,2,1,15,14,7.500,14,14,7.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/MultiReducer.java,14,1,1,14,14,14.000,14,14,14.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/Operation.java,9,1,1,9,9,9.000,9,9,9.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/ReducerAggregator.java,9,1,1,9,9,9.000,9,9,9.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/TridentCollector.java,9,1,1,9,9,9.000,9,9,9.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/TridentMultiReducerContext.java,19,1,1,19,19,19.000,19,19,19.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/TridentOperationContext.java,80,8,2,88,32,11.000,80,32,10.000,188,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/Count.java,24,1,1,24,24,24.000,24,24,24.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/Debug.java,46,5,3,54,14,10.800,46,14,9.200,153,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/Equals.java,21,1,1,21,21,21.000,21,21,21.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/FilterNull.java,14,1,1,14,14,14.000,14,14,14.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/FirstN.java,108,1,1,108,108,108.000,108,108,108.000,146,79,N
0.9.0.1,src/jvm/storm/trident/operation/builtin/MapGet.java,21,1,1,21,21,21.000,21,21,21.000,146,79,N
